Match Number,Round Number,Date,Location,Home Team,Away Team,Result
21,3,7/4/2025 14:00,Eden Gardens,Kolkata Knight Riders,Lucknow Super Giants,
22,3,8/4/2025 14:00,New PCA Stadium,Punjab Kings,Chennai Super Kings,
23,3,9/4/2025 14:00,Narendra Modi Stadium,Gujarat Titans,Rajasthan Royals,
24,3,10/4/2025 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Delhi Capitals,
25,3,11/4/2025 14:00,MA Chidambaram Stadium,Chennai Super Kings,Kolkata Knight Riders,
26,4,12/4/2025 10:00,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Crick,Lucknow Super Giants,Gujarat Titans,
27,4,12/4/2025 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Punjab Kings,
28,4,13/04/2025 10:00,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bengaluru,
29,4,13/04/2025 14:00,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,
30,4,14/04/2025 14:00,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Crick,Lucknow Super Giants,Chennai Super Kings,
31,4,15/04/2025 14:00,New PCA Stadium,Punjab Kings,Kolkata Knight Riders,
32,4,16/04/2025 14:00,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,
33,4,17/04/2025 14:00,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,
34,4,18/04/2025 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Punjab Kings,
35,5,19/04/2025 10:00,Narendra Modi Stadium,Gujarat Titans,Delhi Capitals,
36,5,19/04/2025 14:00,Sawai Mansingh Stadium,Rajasthan Royals,Lucknow Super Giants,
37,5,20/04/2025 10:00,New PCA Stadium,Punjab Kings,Royal Challengers Bengaluru,
38,5,20/04/2025 14:00,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,
39,5,21/04/2025 14:00,Eden Gardens,Kolkata Knight Riders,Gujarat Titans,
40,5,22/04/2025 14:00,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Crick,Lucknow Super Giants,Delhi Capitals,
41,5,23/04/2025 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Mumbai Indians,
42,5,24/04/2025 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,
43,5,25/04/2025 14:00,MA Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,
44,6,26/04/2025 14:00,Eden Gardens,Kolkata Knight Riders,Punjab Kings,
45,6,27/04/2025 10:00,Wankhede Stadium,Mumbai Indians,Lucknow Super Giants,
46,6,27/04/2025 14:00,Arun Jaitley Stadium,Delhi Capitals,Royal Challengers Bengaluru,
47,6,28/04/2025 14:00,Sawai Mansingh Stadium,Rajasthan Royals,Gujarat Titans,
48,6,29/04/2025 14:00,Arun Jaitley Stadium,Delhi Capitals,Kolkata Knight Riders,
49,6,30/04/2025 14:00,MA Chidambaram Stadium,Chennai Super Kings,Punjab Kings,
50,6,1/5/2025 14:00,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,
51,6,2/5/2025 14:00,Narendra Modi Stadium,Gujarat Titans,Sunrisers Hyderabad,
52,6,3/5/2025 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,
53,7,4/5/2025 10:00,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,
54,7,4/5/2025 14:00,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Lucknow Super Giants,
55,7,5/5/2025 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Delhi Capitals,
56,7,6/5/2025 14:00,Wankhede Stadium,Mumbai Indians,Gujarat Titans,
57,7,7/5/2025 14:00,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,
58,7,8/5/2025 14:00,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Delhi Capitals,
59,7,9/5/2025 14:00,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Crick,Lucknow Super Giants,Royal Challengers Bengaluru,
60,7,10/5/2025 14:00,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,
61,7,11/5/2025 10:00,Himachal Pradesh Cricket Association Stadium,Punjab Kings,Mumbai Indians,
62,8,11/5/2025 14:00,Arun Jaitley Stadium,Delhi Capitals,Gujarat Titans,
63,8,12/5/2025 14:00,MA Chidambaram Stadium,Chennai Super Kings,Rajasthan Royals,
64,8,13/05/2025 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Sunrisers Hyderabad,
65,8,14/05/2025 14:00,Narendra Modi Stadium,Gujarat Titans,Lucknow Super Giants,
66,8,15/05/2025 14:00,Wankhede Stadium,Mumbai Indians,Delhi Capitals,
67,8,16/05/2025 14:00,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,
68,8,17/05/2025 14:00,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,
69,8,18/05/2025 10:00,Narendra Modi Stadium,Gujarat Titans,Chennai Super Kings,
70,8,18/05/2025 14:00,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Crick,Lucknow Super Giants,Sunrisers Hyderabad,
71,Preliminary Finals,20/05/2025 14:00,Rajiv Gandhi International Stadium,To be announced,To be announced,
72,Preliminary Finals,21/05/2025 14:00,Rajiv Gandhi International Stadium,To be announced,To be announced,
73,Qualifier 2,23/05/2025 14:00,Eden Gardens,To be announced,To be announced,
74,Final,25/05/2025 14:00,Eden Gardens,To be announced,To be announced,
